iteration,data_point,step_in_data,reward,sim_south,sim_north,expected_south,expected_north,error_south,error_north,lcCooperative,lcAssertive,epsilon,loss
13,1,1,-14.504,648,578,44.000,35.500,604.000,542.500,1.200,1.200,0.1000,61.871262
13,1,2,-14.020,614,571,44.000,35.500,570.000,535.500,1.400,1.200,0.1000,63.187275
13,1,3,-13.566,553,588,44.000,35.500,509.000,552.500,1.600,1.200,0.1000,15.224735
13,1,4,-13.877,594,577,44.000,35.500,550.000,541.500,1.400,1.400,0.1000,31.927279
14,0,1,-8.598,474,299,44.000,35.500,430.000,263.500,1.000,0.800,0.1000,34.190926
14,0,2,-8.392,446,307,44.000,35.500,402.000,271.500,1.000,0.600,0.1000,25.296421
14,0,3,-8.990,511,297,44.000,35.500,467.000,261.500,1.000,0.400,0.1000,84.662415
14,0,4,-8.784,478,309,44.000,35.500,434.000,273.500,0.800,0.200,0.1000,23.989372
14,1,1,-14.504,648,578,44.000,35.500,604.000,542.500,0.800,1.200,0.1000,29.589476
14,1,2,-14.020,614,571,44.000,35.500,570.000,535.500,0.600,1.400,0.1000,20.966612
14,1,3,-13.566,553,588,44.000,35.500,509.000,552.500,0.400,1.600,0.1000,28.293247
14,1,4,-13.877,594,577,44.000,35.500,550.000,541.500,0.200,1.800,0.1000,19.234884
15,0,1,-8.598,474,299,44.000,35.500,430.000,263.500,1.000,0.800,0.1000,190.689621
15,0,2,-8.392,446,307,44.000,35.500,402.000,271.500,1.200,0.800,0.1000,169.797287
15,0,3,-8.962,511,295,44.000,35.500,467.000,259.500,1.200,1.000,0.1000,88.058533
15,0,4,-8.758,477,308,44.000,35.500,433.000,272.500,1.000,1.000,0.1000,213.556091
15,1,1,-14.490,648,577,44.000,35.500,604.000,541.500,0.800,1.000,0.1000,209.831787
15,1,2,-14.005,614,570,44.000,35.500,570.000,534.500,1.000,1.000,0.1000,155.346741
15,1,3,-13.566,553,588,44.000,35.500,509.000,552.500,1.200,1.000,0.1000,348.454193
15,1,4,-13.862,589,580,44.000,35.500,545.000,544.500,1.200,0.800,0.1000,204.498108
16,0,1,-8.598,474,299,44.000,35.500,430.000,263.500,1.000,0.800,0.1000,88.169052
16,0,2,-8.392,446,307,44.000,35.500,402.000,271.500,1.000,0.600,0.1000,96.436943
16,0,3,-8.990,511,297,44.000,35.500,467.000,261.500,1.000,0.400,0.1000,76.130287
16,0,4,-8.784,478,309,44.000,35.500,434.000,273.500,1.000,0.200,0.1000,102.688393
16,1,1,-14.490,648,577,44.000,35.500,604.000,541.500,1.000,0.800,0.1000,589.514771
16,1,2,-14.005,614,570,44.000,35.500,570.000,534.500,1.000,1.000,0.1000,328.315887
16,1,3,-13.552,553,587,44.000,35.500,509.000,551.500,1.000,1.200,0.1000,113.377037
16,1,4,-13.863,594,576,44.000,35.500,550.000,540.500,1.000,1.400,0.1000,85.256523
17,0,1,-8.598,474,299,44.000,35.500,430.000,263.500,0.800,1.000,0.1000,105.492386
17,0,2,-8.392,446,307,44.000,35.500,402.000,271.500,0.600,1.000,0.1000,101.159325
17,0,3,-8.962,511,295,44.000,35.500,467.000,259.500,0.400,1.000,0.1000,101.556572
17,0,4,-8.758,477,308,44.000,35.500,433.000,272.500,0.200,1.000,0.1000,247.892288
17,1,1,-14.490,648,577,44.000,35.500,604.000,541.500,1.200,1.000,0.1000,177.335815
17,1,2,-14.005,614,570,44.000,35.500,570.000,534.500,1.400,1.000,0.1000,147.701111
17,1,3,-13.566,553,588,44.000,35.500,509.000,552.500,1.600,1.000,0.1000,32.478264
17,1,4,-13.862,589,580,44.000,35.500,545.000,544.500,1.400,1.200,0.1000,17.971050
18,0,1,-8.598,474,299,44.000,35.500,430.000,263.500,1.200,1.000,0.1000,10.392237
18,0,2,-8.392,446,307,44.000,35.500,402.000,271.500,1.400,1.000,0.1000,21.815987
18,0,3,-8.962,511,295,44.000,35.500,467.000,259.500,1.600,1.000,0.1000,23.043653
18,0,4,-8.758,477,308,44.000,35.500,433.000,272.500,1.800,1.000,0.1000,47.917374
18,1,1,-14.504,648,578,44.000,35.500,604.000,542.500,0.800,1.200,0.1000,71.329521
18,1,2,-14.020,614,571,44.000,35.500,570.000,535.500,0.800,1.000,0.1000,103.366241
18,1,3,-13.538,553,586,44.000,35.500,509.000,550.500,0.800,0.800,0.1000,108.646248
18,1,4,-13.862,589,580,44.000,35.500,545.000,544.500,0.800,0.600,0.1000,103.179237
19,0,1,-8.598,474,299,44.000,35.500,430.000,263.500,1.000,0.800,0.1000,90.547760
19,0,2,-8.392,446,307,44.000,35.500,402.000,271.500,1.000,0.600,0.1000,88.029602
19,0,3,-8.962,511,295,44.000,35.500,467.000,259.500,1.000,0.600,0.1000,663.140320
19,0,4,-8.758,477,308,44.000,35.500,433.000,272.500,1.000,0.800,0.1000,305.723633
19,1,1,-14.504,648,578,44.000,35.500,604.000,542.500,1.000,1.200,0.1000,157.776199
19,1,2,-14.020,614,571,44.000,35.500,570.000,535.500,1.000,1.200,0.1000,59.802345
19,1,3,-13.566,553,588,44.000,35.500,509.000,552.500,1.000,1.400,0.1000,38.207092
19,1,4,-13.877,594,577,44.000,35.500,550.000,541.500,1.000,1.600,0.1000,141.447144
20,0,1,-8.598,474,299,44.000,35.500,430.000,263.500,1.000,0.800,0.1000,126.138977
20,0,2,-8.392,446,307,44.000,35.500,402.000,271.500,1.200,1.000,0.1000,396.809814
20,0,3,-8.962,511,295,44.000,35.500,467.000,259.500,1.000,1.000,0.1000,123.537537
20,0,4,-8.758,477,308,44.000,35.500,433.000,272.500,0.800,1.000,0.1000,91.998154
20,1,1,-14.504,648,578,44.000,35.500,604.000,542.500,1.000,1.200,0.1000,91.987137
20,1,2,-14.020,614,571,44.000,35.500,570.000,535.500,1.000,1.400,0.1000,105.925903
20,1,3,-13.566,553,588,44.000,35.500,509.000,552.500,1.000,1.600,0.1000,229.686188
20,1,4,-13.877,594,577,44.000,35.500,550.000,541.500,0.800,1.600,0.1000,191.898254
